OMIM_disease,OMIM_phen_key,OMIM_orgene,OMIM_id,OMIM_pos,OMIM_gene
"C1s deficiency, 613783 ",3,"C1S, EDSPD2",120580,12p13.31,C1S
"C2 deficiency, 217000 ",3,"C2, ARMD14",613927,6p21.33,C2
"C3 deficiency, 613779 ",3,"C3, ARMD9, AHUS5",120700,19p13.3,C3
"C4B deficiency, 614379 ",3,"C4B, C4F, C4BD",120820,6p21.33,C4B
"C4a deficiency, 614380 ",3,"C4A, C4S, C4AD",120810,6p21.33,C4A
"C5 deficiency, 609536 ",3,"C5, C5D, ECLZB",120900,9q33.2,C5
"C6 deficiency, 612446 ",3,C6,217050,5p13.1,C6
"C7 deficiency, 610102 ",3,C7,217070,5p13.1,C7
"C8 deficiency, type I, 613790 ",3,C8A,120950,1p32.2,C8A
"C8 deficiency, type II, 613789 ",3,C8B,120960,1p32.2,C8B
"C9 deficiency, 613825 ",3,"C9, C9D, ARMD15",120940,5p13.1,C9
"CAP myopathy 1, 609284 ",3,"TPM3, NEM1, CFTD, CAPM1",191030,1q21.3,TPM3
"CAP myopathy 2, 609285 ",3,"TPM2, TMSB, AMCD1, DA1, DA2B, NEM4",190990,9p13.3,TPM2
"CAPOS syndrome, 601338 ",3,"ATP1A3, DYT12, RDP, AHC2, CAPOS",182350,19q13.2,ATP1A3
"CATSHL syndrome, 610474 ",3,"FGFR3, ACH",134934,4p16.3,FGFR3
"CD8 deficiency, familial, 608957 ",3,CD8A,186910,2p11.2,CD8A
"CHARGE syndrome, 214800 ",3,"CHD7, HH5",608892,8q12.2,CHD7
"CINCA syndrome, 607115 ",3,"NLRP3, CIAS1, FCU, FCAS1, NALP3, PYPAF1",606416,1q44,NLRP3
"COACH syndrome, 216360 ",3,"CC2D2A, KIAA1345, MKS6",612013,4p15.32,CC2D2A
"COACH syndrome, 216360 ",3,"RPGRIP1L, KIAA1005, JBTS7, MKS5",610937,16q12.2,RPGRIP1L
"COACH syndrome, 216360 ",3,"TMEM67, MKS3, JBTS6, NPHP11",609884,8q22.1,TMEM67
"COPD, rate of decline of lung function in, 606963 ",3,"MMP1, CLG",120353,11q22.2,MMP1
"CPT II deficiency, lethal neonatal, 608836 ",3,"CPT2, IIAE4",600650,1p32.3,CPT2
"CPT deficiency, hepatic, type IA, 255120 ",3,CPT1A,600528,11q13.3,CPT1A
"CPT deficiency, hepatic, type II, 600649 ",3,"CPT2, IIAE4",600650,1p32.3,CPT2
"CRASH syndrome, 303350 ",3,"L1CAM, CAML1, HSAS1, MASA, SPG1",308840,Xq28,L1CAM
"Caffey disease, 114000 ",3,"COL1A1, OI1, OI2, OI3, OI4, EDSC",120150,17q21.33,COL1A1
"Calcification of joints and arteries, 211800 ",3,"NT5E, NT5",129190,6q14.3,NT5E
"Campomelic dysplasia with autosomal sex reversal, 114290 ",3,"SOX9, CMD1, SRA1",608160,17q24.3,SOX9
"Campomelic dysplasia, 114290 ",3,"SOX9, CMD1, SRA1",608160,17q24.3,SOX9
"Camptodactyly-arthropathy-coxa vara-pericarditis syndrome, 208250 ",3,"PRG4, CACP, MSF, SZP, HAPO",604283,1q31.1,PRG4
"Camurati-Engelmann disease, 131300 ",3,"TGFB1, DPD1, CED",190180,19q13.2,TGFB1
"Canavan disease, 271900 ",3,ASPA,608034,17p13.2,ASPA
"Candidiasis, familial, 4, autosomal recessive, 613108 ",3,"CLEC7A, CLECSF12, DECTIN1, CANDF4",606264,12p13.2,CLEC7A
"Capillary malformation-arteriovenous malformation, 608354 ",3,"RASA1, GAP, CMAVM, PKWS",139150,5q14.3,RASA1
"Carbamoylphosphate synthetase I deficiency, 237300 ",3,"CPS1, PHN",608307,2q34,CPS1
"Carboxypeptidase N deficiency, 212070 ",3,"CPN1, SCPN, CPN",603103,10q24.2,CPN1
"Carcinoid tumors, intestinal, 114900 ",3,"SDHD, PGL1, CWS3",602690,11q23.1,SDHD
"Cardiac arrhythmia, ankyrin-B-related, 600919 ",3,"ANK2, LQT4",106410,4q25-q26,ANK2
"Cardiac conduction defect, nonspecific, 612838 ",3,"SCN1B, GEFSP1, BRGDA5, ATFB13",600235,19q13.11,SCN1B
"Cardiac valvular dysplasia, X-linked, 314400 ",3,"FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS",300017,Xq28,FLNA
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1, 604377 ",3,"SCO2, CEMCOX1, MYP6",604272,22q13.33,SCO2
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2, 615119 ",3,"COX15, CEMCOX2",603646,10q24.2,COX15
"Cardiofaciocutaneous syndrome 2, 615278 ",3,"KRAS, KRAS2, RASK2, NS, CFC2, RALD",190070,12p12.1,KRAS
"Cardiofaciocutaneous syndrome 3, 615279 ",3,"MAP2K1, PRKMK1, MKK1, MEK1, CFC3",176872,15q22.31,MAP2K1
"Cardiofaciocutaneous syndrome, 115150 ",3,"BRAF, NS7",164757,7q34,BRAF
"Cardiomyopathy, dilated, 1A, 115200 ",3,"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B",150330,1q22,LMNA
"Cardiomyopathy, dilated, 1AA, with or without LVNC, 612158 ",3,"ACTN2, CMD1AA, CMH23",102573,1q43,ACTN2
"Cardiomyopathy, dilated, 1BB, 612877 ",3,"DSG2, ARVD10, ARVC10, CMD1BB",125671,18q12.1,DSG2
"Cardiomyopathy, dilated, 1C, with or without LVNC, 601493 ",3,"LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3",605906,10q23.2,LDB3
"Cardiomyopathy, dilated, 1D, 601494 ",3,"TNNT2, CMH2, CMD1D, RCM3, LVNC6",191045,1q32.1,TNNT2
"Cardiomyopathy, dilated, 1E, 601154 ",3,"SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2",600163,3p22.2,SCN5A
"Cardiomyopathy, dilated, 1EE, 613252 ",3,"MYH6, ASD3, MYHCA, CMD1EE, CMH14, SSS3",160710,14q11.2,MYH6
"Cardiomyopathy, dilated, 1FF, 613286 ",3,"TNNI3, CMH7, CMD2A, RCM1, CMD1FF",191044,19q13.42,TNNI3
"Cardiomyopathy, dilated, 1G, 604145 ",3,"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC",188840,2q31.2,TTN
"Cardiomyopathy, dilated, 1GG, 613642 ",3,"SDHA, SDH1, SDHF, CMD1GG, PGL5",600857,5p15.33,SDHA
"Cardiomyopathy, dilated, 1I, 604765 ",3,"DES, CMD1I, MFM1, SCPNK, ARVD7, ARVC7, LGMD2R",125660,2q35,DES
"Cardiomyopathy, dilated, 1II, 615184 ",3,"CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2",123590,11q23.1,CRYAB
"Cardiomyopathy, dilated, 1J, 605362 ",3,"EYA4, DFNA10, CMD1J",603550,6q23.2,EYA4
"Cardiomyopathy, dilated, 1L, 606685 ",3,"SGCD, SGD, LGMD2F, CMD1L",601411,5q33.2-q33.3,SGCD
"Cardiomyopathy, dilated, 1MM, 615396 ",3,"MYBPC3, CMH4, CMD1MM, LVNC10",600958,11p11.2,MYBPC3
"Cardiomyopathy, dilated, 1NN, 615916 ",3,"RAF1, CRAF, NS5, CMD1NN",164760,3p25.2,RAF1
"Cardiomyopathy, dilated, 1P, 609909 ",3,"PLN, PLB, CMD1P, CMH18",172405,6q22.31,PLN
"Cardiomyopathy, dilated, 1R, 613424 ",3,"ACTC1, CMD1R, CMH11, ASD5, LVNC4",102540,15q14,ACTC1
"Cardiomyopathy, dilated, 1S, 613426 ",3,"MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD",160760,14q11.2,MYH7
"Cardiomyopathy, dilated, 1U, 613694 ",3,"PSEN1, AD3",104311,14q24.2,PSEN1
"Cardiomyopathy, dilated, 1V, 613697 ",3,"PSEN2, AD4, STM2, CMD1V",600759,1q42.13,PSEN2
"Cardiomyopathy, dilated, 1W, 611407 ",3,"VCL, CMD1W, CMH15",193065,10q22.2,VCL
"Cardiomyopathy, dilated, 1X, 611615 ",3,"FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4",607440,9q31.2,FKTN
"Cardiomyopathy, dilated, 1Y, 611878 ",3,"TPM1, CMH3, CMD1Y , LVNC9",191010,15q22.2,TPM1
"Cardiomyopathy, dilated, 1Z, 611879 ",3,"TNNC1, CMD1Z, CMH13",191040,3p21.1,TNNC1
"Cardiomyopathy, dilated, 3B, 302045 ",3,"DMD, BMD, CMD3B",300377,Xp21.2-p21.1,DMD
"Cardiomyopathy, dilated, with woolly hair and keratoderma, 605676 ",3,"DSP, KPPS2, PPKS2, DCWHKTA",125647,6p24.3,DSP
"Cardiomyopathy, familial hypertrophic, 192600 ",3,"CAV3, LGMD1C, LQT9",601253,3p25.3,CAV3
"Cardiomyopathy, familial hypertrophic, 26 ",3,"FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5",102565,7q32.1,FLNC
"Cardiomyopathy, familial hypertrophic, 9, 613765 ",3,"TTN, CMD1G, TMD, LGMD2J, MPRM, HMERF, EOMFC",188840,2q31.2,TTN
"Cardiomyopathy, familial restrictive 5, 617047 ",3,"FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5",102565,7q32.1,FLNC
"Cardiomyopathy, familial restrictive, 1, 115210 ",3,"TNNI3, CMH7, CMD2A, RCM1, CMD1FF",191044,19q13.42,TNNI3
"Cardiomyopathy, familial restrictive, 3, 612422 ",3,"TNNT2, CMH2, CMD1D, RCM3, LVNC6",191045,1q32.1,TNNT2
"Cardiomyopathy, hypertrophic 6, 600858 ",3,"PRKAG2, WPWS, CMH6",602743,7q36.1,PRKAG2
"Cardiomyopathy, hypertrophic, 1, 192600 ",3,"MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD",160760,14q11.2,MYH7
"Cardiomyopathy, hypertrophic, 1, digenic, 192600 ",3,"MYLK2, MLCK",606566,20q11.21,MYLK2
"Cardiomyopathy, hypertrophic, 10, 608758 ",3,"MYL2, CMH10",160781,12q24.11,MYL2
"Cardiomyopathy, hypertrophic, 11, 612098 ",3,"ACTC1, CMD1R, CMH11, ASD5, LVNC4",102540,15q14,ACTC1
"Cardiomyopathy, hypertrophic, 12, 612124 ",3,"CSRP3, CRP3, CLP, CMD1M, CMH12",600824,11p15.1,CSRP3
"Cardiomyopathy, hypertrophic, 13, 613243 ",3,"TNNC1, CMD1Z, CMH13",191040,3p21.1,TNNC1
"Cardiomyopathy, hypertrophic, 14, 613251 ",3,"MYH6, ASD3, MYHCA, CMD1EE, CMH14, SSS3",160710,14q11.2,MYH6
"Cardiomyopathy, hypertrophic, 15, 613255 ",3,"VCL, CMD1W, CMH15",193065,10q22.2,VCL
"Cardiomyopathy, hypertrophic, 18, 613874 ",3,"PLN, PLB, CMD1P, CMH18",172405,6q22.31,PLN
"Cardiomyopathy, hypertrophic, 2, 115195 ",3,"TNNT2, CMH2, CMD1D, RCM3, LVNC6",191045,1q32.1,TNNT2
"Cardiomyopathy, hypertrophic, 23, with or without LVNC, 612158 ",3,"ACTN2, CMD1AA, CMH23",102573,1q43,ACTN2
"Cardiomyopathy, hypertrophic, 24, 601493 ",3,"LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3",605906,10q23.2,LDB3
"Cardiomyopathy, hypertrophic, 25, 607487 ",3,"TCAP, LGMD2G, CMH25",604488,17q12,TCAP
"Cardiomyopathy, hypertrophic, 3, 115196 ",3,"TPM1, CMH3, CMD1Y , LVNC9",191010,15q22.2,TPM1
"Cardiomyopathy, hypertrophic, 4, 115197 ",3,"MYBPC3, CMH4, CMD1MM, LVNC10",600958,11p11.2,MYBPC3
"Cardiomyopathy, hypertrophic, 7, 613690 ",3,"TNNI3, CMH7, CMD2A, RCM1, CMD1FF",191044,19q13.42,TNNI3
"Cardiomyopathy, hypertrophic, 8, 608751 ",3,"MYL3, CMH8",160790,3p21.31,MYL3
"Carney complex variant, 608837 ",3,"MYH8, DA7",160741,17p13.1,MYH8
"Carney complex, type 1, 160980 ",3,"PRKAR1A, TSE1, CNC1, CAR, PPNAD1, ACRDYS1",188830,17q24.2,PRKAR1A
"Carnitine deficiency, systemic primary, 212140 ",3,"SLC22A5, OCTN2, CDSP, SCD",603377,5q31.1,SLC22A5
"Carotid intimal medial thickness 1, 609338 ",3,"PPARG, PPARG1, PPARG2, CIMT1, GLM1",601487,3p25.2,PPARG
"Carpal tunnel syndrome, familial, 115430 ",3,"TTR, PALB",176300,18q12.1,TTR
"Carpenter syndrome, 201000 ",3,RAB23,606144,6p12.1-p11.2,RAB23
"Cartilage-hair hypoplasia, 250250 ",3,"RMRP, RMRPR, CHH",157660,9p13.3,RMRP
"Cataract 1, multiple types, 116200 ",3,"GJA8, CX50, CTRCT1, CZP1, CAE1",600897,1q21.2,GJA8
"Cataract 10, multiple types, 600881 ",3,"CRYBA1, CRYB1, CTRCT10",123610,17q11.2,CRYBA1
"Cataract 11, multiple types, 610623 ",3,"PITX3, CTPP4, CTRCT11",602669,10q24.32,PITX3
"Cataract 11, syndromic, 610623 ",3,"PITX3, CTPP4, CTRCT11",602669,10q24.32,PITX3
"Cataract 12, multiple types, 611597 ",3,"BFSP2, CP49, CP47, CTRCT12",603212,3q22.1,BFSP2
"Cataract 13 with adult i phenotype, 116700 ",3,"GCNT2, Ii, CTRCT13",600429,6p24.3-p24.2,GCNT2
"Cataract 14, multiple types, 601885 ",3,"GJA3, CX46, CZP3, CAE3, CTRCT14",121015,13q12.11,GJA3
"Cataract 15, multiple types, 615274 ",3,"MIP, AQP0, CTRCT15",154050,12q13.3,MIP
"Cataract 16, multiple types, 613763 ",3,"CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2",123590,11q23.1,CRYAB
"Cataract 19, multiple types, 615277 ",3,"LIM2, MP19, CTRCT19",154045,19q13.41,LIM2
"Cataract 2, multiple types, 604307 ",3,"CRYGC, CRYG3, CTRCT2, CCL",123680,2q33.3,CRYGC
"Cataract 20, multiple types, 116100 ",3,"CRYGS, CRYG8, CTRCT20",123730,3q27.3,CRYGS
"Cataract 22, autosomal recessive, 609741 ",3,"CRYBB3, CRYB3, CATCN2, CTRCT22",123630,22q11.23,CRYBB3
"Cataract 23, 610425 ",3,"CRYBA4, CTRCT23",123631,22q12.1,CRYBA4
"Cataract 3, multiple types, 601547 ",3,"CRYBB2, CRYB2, CTRCT3, CCA2",123620,22q11.23,CRYBB2
"Cataract 31, multiple types, 605387 ",3,"CHMP4B, SNF7, CTPP3, CTRCT31",610897,20q11.22,CHMP4B
"Cataract 36, 613887 ",3,"TDRD7, KIAA1529, TRAP, CATC4, CTRCT36",611258,9q22.33,TDRD7
"Cataract 39, multiple types, autosomal dominant, 615188 ",3,"CRYGB, CRYG2, CTRCT39",123670,2q33.3,CRYGB
"Cataract 4, multiple types, 115700 ",3,"CRYGD, CRYG4, CTRCT4, CACA, CCA3, PCC",123690,2q33.3,CRYGD
"Cataract 40, X-linked, 302200 ",3,"NHS, CXN, CTRCT40",300457,Xp22.2-p22.1,NHS
"Cataract 47, juvenile, with microcornea, 612018 ",3,"SLC16A12, MCT12, CTRCT47",611910,10q23.31,SLC16A12
"Cataract 5, multiple types, 116800 ",3,"HSF4, CTM, CTRCT5",602438,16q22.1,HSF4
"Cataract 6, multiple types, 116600 ",3,"EPHA2, ECK, ARCC2, CTPP1, CTPA, ARCC2, CTRCT6",176946,1p36.13,EPHA2
"Cataract 9, multiple types, 604219 ",3,"CRYAA, CRYA1, CTRCT9",123580,21q22.3,CRYAA
"Cataract with late-onset corneal dystrophy, 106210 ",3,"PAX6, AN2, MGDA, FVH1",607108,11p13,PAX6
"Cavernous malformations of CNS and retina, 116860 ",3,"CCM1, CAM, KRIT1",604214,7q21.2,CCM1
"Central core disease, 117000 ",3,"RYR1, MHS, CCO",180901,19q13.2,RYR1
"Central hypoventilation syndrome, 209880 ",3,"GDNF, HSCR3",600837,5p13.2,GDNF
"Central hypoventilation syndrome, congenital, 209880 ",3,"ASCL1, ASH1",100790,12q23.2,ASCL1
"Central hypoventilation syndrome, congenital, 209880 ",3,"BDNF, BULN2, ANON2",113505,11p14.1,BDNF
"Central hypoventilation syndrome, congenital, 209880 ",3,"EDN3, WS4B, HSCR4",131242,20q13.32,EDN3
"Central hypoventilation syndrome, congenital, 209880 ",3,"RET, MEN2A, HSCR1",164761,10q11.21,RET
"Central hypoventilation syndrome, congenital, with or without Hirschsprung disease, 209880 ",3,"PMX2B, NBPHOX, PHOX2B, NBLST2",603851,4p13,PMX2B
"Cerebellar ataxia, 604290 ",3,CP,117700,3q24-q25,CP
"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant, 604121 ",3,"DNMT1, MCMT, HSN1E, ADCADN",126375,19p13.2,DNMT1
"Cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1, 224050 ",3,"VLDLR, CAMRQ1",192977,9p24.2,VLDLR
"Cerebral amyloid angiopathy, 105150 ",3,"CST3, ARMD11",604312,20p11.21,CST3
"Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants, 605714 ",3,"APP, AAA, CVAP, AD1",104760,21q21.3,APP
"Cerebral amyloid angiopathy, PRNP-related, 137440 ",3,"PRNP, PRIP, KURU, CJD",176640,20p13,PRNP
"Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy 1, 125310 ",3,"NOTCH3, CADASIL1, CASIL, IMF2, LMNS",600276,19p13.12,NOTCH3
"Cerebral cavernous malformations-1, 116860 ",3,"CCM1, CAM, KRIT1",604214,7q21.2,CCM1
"Cerebral cavernous malformations-2, 603284 ",3,"C7orf22, CCM2, MGC4067",607929,7p13,C7orf22
"Cerebral creatine deficiency syndrome 1, 300352 ",3,"SLC6A8, CRTR, CCDS1",300036,Xq28,SLC6A8
"Cerebral creatine deficiency syndrome 3, 612718 ",3,"GATM, AGAT, CCDS3",602360,15q21.1,GATM
"Cerebral palsy, spastic quadriplegic, 2, 612900 ",3,"KANK1, KANK, ANKRD15, KIAA0172, CPSQ2",607704,9p24.3,KANK1
"Cerebral palsy, spastic quadriplegic, 3, 617008 ",3,"ADD3, ADDL, CPSQ3",601568,10q25.1-q25.2,ADD3
"Cerebrooculofacioskeletal syndrome 1, 214150 ",3,"ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, POF11",609413,10q11.23,ERCC6
"Cerebrooculofacioskeletal syndrome 2, 610756 ",3,"ERCC2, EM9, XPD, COFS2, TTD1",126340,19q13.32,ERCC2
"Cerebrooculofacioskeletal syndrome 3, 616570 ",3,"ERCC5, XPG, COFS3",133530,13q33.1,ERCC5
"Cerebrooculofacioskeletal syndrome 4, 610758 ",3,"ERCC1, UV20, COFS4",126380,19q13.32,ERCC1
"Ceroid lipofuscinosis, neuronal, 1, 256730 ",3,"PPT1, CLN1",600722,1p34.2,PPT1
"Ceroid lipofuscinosis, neuronal, 10, 610127 ",3,"CTSD, CPSD, CLN10",116840,11p15.5,CTSD
"Ceroid lipofuscinosis, neuronal, 11, 614706 ",3,"GRN, CLN11",138945,17q21.31,GRN
"Ceroid lipofuscinosis, neuronal, 2, 204500 ",3,"TPP1, CLN2, SCAR7",607998,11p15.4,TPP1
"Ceroid lipofuscinosis, neuronal, 3, 204200 ",3,"CLN3, BTS",607042,16p12.1,CLN3
"Ceroid lipofuscinosis, neuronal, 5, 256731 ",3,CLN5,608102,13q22.3,CLN5
"Ceroid lipofuscinosis, neuronal, 6, 601780 ",3,"CLN6, CLN4A",606725,15q23,CLN6
"Ceroid lipofuscinosis, neuronal, Kufs type, adult onset, 204300 ",3,"CLN6, CLN4A",606725,15q23,CLN6
"Cervical cancer, somatic, 603956 ",3,"FGFR3, ACH",134934,4p16.3,FGFR3
"Chanarin-Dorfman syndrome, 275630 ",3,"ABHD5, CGI58, IECN2, NCIE2",604780,3p21.33,ABHD5
"Char syndrome, 169100 ",3,"TFAP2B, CHAR, PDA2",601601,6p12.3,TFAP2B
"Charcot-Marie-Tooth disease, X-linked recessive, 5, 311070 ",3,"PRPS1, CMTX5, DFNX1, DFN2",311850,Xq22.3,PRPS1
"Charcot-Marie-Tooth disease, axonal, type 20, 614228 ",3,"DYNC1H1, DNCL, DNECL, CMT20, MRD13, SMALED1",600112,14q32.31,DYNC1H1
"Charcot-Marie-Tooth disease, axonal, type 2A2A, 609260 ",3,"MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B",608507,1p36.22,MFN2
"Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 ",3,"MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B",608507,1p36.22,MFN2
"Charcot-Marie-Tooth disease, axonal, type 2CC, 616924 ",3,"NEFH, CMT2CC",162230,22q12.2,NEFH
"Charcot-Marie-Tooth disease, axonal, type 2F, 606595 ",3,"HSPB1, HSP27, CMT2F, HMN2B",602195,7q11.23,HSPB1
"Charcot-Marie-Tooth disease, axonal, type 2K, 607831 ",3,"GDAP1, CMT4A, CMT2K, CMTRIA",606598,8q21.11,GDAP1
"Charcot-Marie-Tooth disease, axonal, type 2L, 608673 ",3,"HSPB8, H11, E2IG1, DHMN2, CMT2L, HMN2A",608014,12q24.23,HSPB8
"Charcot-Marie-Tooth disease, axonal, type 2M, 606482 ",3,"DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5",602378,19p13.2,DNM2
"Charcot-Marie-Tooth disease, axonal, type 2N, 613287 ",3,"AARS, CMT2N, EIEE29",601065,16q22.1,AARS
"Charcot-Marie-Tooth disease, axonal, type 2T, 617017 ",3,"MME, CD10, CALLA, NEP, CMT2T, SCA43",120520,3q25.2,MME
"Charcot-Marie-Tooth disease, axonal, type 2X, 616668 ",3,"SPG11, KIAA1840, FLJ21439, ALS5, CMT2X",610844,15q21.1,SPG11
"Charcot-Marie-Tooth disease, axonal, type 2Z, 616688 ",3,"MORC2, ZCW3, ZCWCC1, KIAA0852, CMT2Z",616661,22q12.2,MORC2
"Charcot-Marie-Tooth disease, axonal, with vocal cord paresis, 607706 ",3,"GDAP1, CMT4A, CMT2K, CMTRIA",606598,8q21.11,GDAP1
"Charcot-Marie-Tooth disease, dominant intermediate B, 606482 ",3,"DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5",602378,19p13.2,DNM2
"Charcot-Marie-Tooth disease, dominant intermediate C, 608323 ",3,"YARS, CMTDIC, TYRRS, YTS, YRS",603623,1p35.1,YARS
"Charcot-Marie-Tooth disease, dominant intermediate D, 607791 ",3,"MPZ, CMT1B, CMTDID, CHM, DSS",159440,1q23.3,MPZ
"Charcot-Marie-Tooth disease, foot deformity of, 192950 ",3,"HOXD10, HOX4D",142984,2q31.1,HOXD10
"Charcot-Marie-Tooth disease, recessive intermediate C, 615376 ",3,"PLEKHG5, KIAA0720, DSMA4, CMTRIC",611101,1p36.31,PLEKHG5
"Charcot-Marie-Tooth disease, recessive intermediate, A, 608340 ",3,"GDAP1, CMT4A, CMT2K, CMTRIA",606598,8q21.11,GDAP1
"Charcot-Marie-Tooth disease, type 1A, 118220 ",3,"PMP22, CMT1A, CMT1E, DSS",601097,17p12,PMP22
"Charcot-Marie-Tooth disease, type 1B, 118200 ",3,"MPZ, CMT1B, CMTDID, CHM, DSS",159440,1q23.3,MPZ
"Charcot-Marie-Tooth disease, type 1C, 601098 ",3,"LITAF, CMT1C",603795,16p13.13,LITAF
"Charcot-Marie-Tooth disease, type 1E, 118300 ",3,"PMP22, CMT1A, CMT1E, DSS",601097,17p12,PMP22
"Charcot-Marie-Tooth disease, type 1F, 607734 ",3,"NEFL, CMT2E, CMT1F",162280,8p21.2,NEFL
"Charcot-Marie-Tooth disease, type 2B, 600882 ",3,"RAB7, CMT2B, PSN",602298,3q21.3,RAB7
"Charcot-Marie-Tooth disease, type 2B1, 605588 ",3,"LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B",150330,1q22,LMNA
"Charcot-Marie-Tooth disease, type 2D, 601472 ",3,"GARS, SMAD1, CMT2D, HMN5",600287,7p14.3,GARS
"Charcot-Marie-Tooth disease, type 2E, 607684 ",3,"NEFL, CMT2E, CMT1F",162280,8p21.2,NEFL
"Charcot-Marie-Tooth disease, type 2I, 607677 ",3,"MPZ, CMT1B, CMTDID, CHM, DSS",159440,1q23.3,MPZ
"Charcot-Marie-Tooth disease, type 2J, 607736 ",3,"MPZ, CMT1B, CMTDID, CHM, DSS",159440,1q23.3,MPZ
"Charcot-Marie-Tooth disease, type 2R, 615490 ",3,"TRIM2, KIAA0517, CMT2R",614141,4q31.3,TRIM2
"Charcot-Marie-Tooth disease, type 2Y, 616687 ",3,"VCP, IBMPFD1, ALS14, CMT2Y",601023,9p13.3,VCP
"Charcot-Marie-Tooth disease, type 4A, 214400 ",3,"GDAP1, CMT4A, CMT2K, CMTRIA",606598,8q21.11,GDAP1
"Charcot-Marie-Tooth disease, type 4B1, 601382 ",3,"MTMR2, CMT4B1",603557,11q21,MTMR2
"Charcot-Marie-Tooth disease, type 4B2, 604563 ",3,"SBF2, MTMR13, CMT4B2",607697,11p15.4,SBF2
"Charcot-Marie-Tooth disease, type 4H, 609311 ",3,"FGD4, FRABIN, CMT4H",611104,12p11.21,FGD4
"Charcot-Marie-Tooth disease, type 4K, 616684 ",3,"SURF1, CMT4K",185620,9q34.2,SURF1
"Charcot-Marie-Tooth neuropathy, X-linked dominant, 1, 302800 ",3,"GJB1, CX32, CMTX1",304040,Xq13.1,GJB1
"Chediak-Higashi syndrome, 214500 ",3,"LYST, CHS1",606897,1q42.3,LYST
"Cherubism, 118400 ",3,"SH3BP2, CRPM",602104,4p16.3,SH3BP2
"Chilblain lupus, 610448 ",3,"TREX1, AGS1, CRV, HERNS",606609,3p21.31,TREX1
"Chitayat syndrome, 617180 ",3,"ERF, PE2, CRS4, CHYTS",611888,19q13.2,ERF
"Choanal atresia and lymphedema, 613611 ",3,"PTPN14, PEZ",603155,1q32-q41,PTPN14
"Cholestasis, benign recurrent intrahepatic, 2, 605479 ",3,"ABCB11, BSEP, SPGP, PFIC2, BRIC2",603201,2q31.1,ABCB11
"Cholestasis, intrahepatic, of pregnancy, 3, 614972 ",3,"ABCB4, PGY3, MDR3, ICP3",171060,7q21.12,ABCB4
"Cholestasis, progressive familial intrahepatic 2, 601847 ",3,"ABCB11, BSEP, SPGP, PFIC2, BRIC2",603201,2q31.1,ABCB11
"Cholestasis, progressive familial intrahepatic 3, 602347 ",3,"ABCB4, PGY3, MDR3, ICP3",171060,7q21.12,ABCB4
"Cholesteryl ester storage disease, 278000 ",3,"LIPA, CESD",613497,10q23.31,LIPA
"Chondrocalcinosis 2, 118600 ",3,"ANKH, HANK, ANK, CMDJ, CCAL2, CPPDD",605145,5p15.2,ANKH
"Chondrodysplasia punctata, X-linked recessive, 302950 ",3,"ARSE, CDPX1, CDPXR",300180,Xp22.33,ARSE
"Chondrodysplasia, Blomstrand type, 215045 ",3,"PTHR1, PTHR, PFE",168468,3p21.31,PTHR1
"Chondrodysplasia, Grebe type, 200700 ",3,"GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,GDF5
"Chondrosarcoma, 215300 ",3,EXT1,608177,8q24.11,EXT1
"Chondrosarcoma, extraskeletal myxoid, 612237 ",3,CSMF,600542,9q31.1,CSMF
"Choreoacanthocytosis, 200150 ",3,"VPS13A, CHAC",605978,9q21.2,VPS13A
"Choriodal dystrophy, central areolar 2, 613105 ",3,"PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1",179605,6p21.1,PRPH2
